Date,Open,High,Low,Close,Adj Close,Volume,Turnover (Lacs)
2020-08-21,2260,2271,2241.050049,2248.600098,2219.079834,1975294,1975294
2020-08-24,2250.600098,2259.949951,2230,2248.100098,2218.586426,2167966,2167966
2020-08-25,2245,2250,2233.550049,2242.649902,2213.208008,1663419,1663419
2020-08-26,2242,2259.899902,2216.449951,2253.5,2223.915527,2618149,2618149
2020-08-27,2266,2287.350098,2241.75,2248.399902,2218.88208,3579393,3579393
2020-08-28,2268.399902,2279.949951,2235.100098,2238.550049,2209.161377,2941136,2941136
2020-08-31,2240,2276.199951,2228,2257.25,2227.616211,6018154,6018154
2020-09-01,2269,2278,2241.300049,2246.350098,2216.859375,3610908,3610908
2020-09-02,2247,2268.75,2241.649902,2265.149902,2235.412354,2084137,2084137
2020-09-03,2268,2324,2268,2299.5,2269.311279,4654146,4654146
2020-09-04,2275,2324.25,2262.949951,2288.800049,2258.751709,5231303,5231303
2020-09-07,2289,2343.5,2283.350098,2327.050049,2296.499756,4620401,4620401
2020-09-08,2335.949951,2390.449951,2327.050049,2348.199951,2317.371826,7453998,7453998
2020-09-09,2325,2359,2320,2327.649902,2297.092041,3866535,3866535
2020-09-10,2335,2348.5,2324.300049,2331.149902,2300.545654,2308813,2308813
2020-09-11,2330.949951,2383,2330.149902,2374.100098,2342.932129,4145424,4145424
2020-09-14,2384.100098,2505.75,2381.850098,2491.399902,2458.692139,7512131,7512131
2020-09-15,2491.399902,2538,2464.600098,2491.399902,2458.692139,7318770,7318770
2020-09-16,2488.949951,2507.600098,2477.300049,2503,2470.140137,3074003,3074003
2020-09-17,2480,2495.75,2450.600098,2460.949951,2428.641846,4828176,4828176
2020-09-18,2485,2500.399902,2436.399902,2449.899902,2417.736816,4183256,4183256
2020-09-21,2465,2504.899902,2452.149902,2465.300049,2432.934814,4598809,4598809
2020-09-22,2485,2555,2458,2522.949951,2489.828125,7499613,7499613
2020-09-23,2510,2519.850098,2409,2467.449951,2435.056152,7502280,7502280
2020-09-24,2450,2450,2302.600098,2332.25,2301.631348,8424708,8424708
2020-09-25,2368,2440,2352.100098,2422.300049,2390.499268,8228267,8228267
2020-09-28,2440,2444,2366,2426.300049,2394.446777,4347166,4347166
2020-09-29,2434.850098,2511.050049,2426.300049,2488.399902,2455.731445,6995811,6995811
2020-09-30,2489,2505,2460,2492.300049,2459.580322,3917166,3917166
2020-10-01,2510,2540,2492.300049,2523.449951,2490.321289,2610337,2610337
2020-10-05,2620,2728.100098,2603.050049,2705.800049,2670.277344,17412105,17412105
2020-10-06,2736,2736,2650.100098,2714.300049,2678.666016,9846367,9846367
2020-10-07,2742,2770,2703,2735.949951,2700.031738,9656101,9656101
2020-10-08,2800,2885,2800,2825.699951,2788.603516,19839329,19839329
2020-10-09,2810,2829.850098,2780,2812.949951,2776.020752,7739245,7739245
2020-10-12,2815.5,2854,2800.75,2830,2792.846924,4623203,4623203
2020-10-13,2845,2854.899902,2812.199951,2826.550049,2789.442139,4209878,4209878
2020-10-14,2842,2842,2787.550049,2809.600098,2784.536377,4395936,4395936
2020-10-15,2811,2827.75,2727,2740.600098,2716.1521,6629355,6629355
2020-10-16,2750.100098,2771.649902,2731.300049,2763.300049,2738.649414,5273773,5273773
2020-10-19,2774,2774,2706.600098,2711.550049,2687.36084,3331194,3331194
2020-10-20,2725,2759.899902,2717.949951,2739,2714.566162,3406273,3406273
2020-10-21,2739,2749,2663.050049,2675.399902,2651.533203,4570143,4570143
2020-10-22,2661,2686.649902,2638.100098,2671.149902,2647.321289,5262294,5262294
